"schools","primary","secondary","logos","conference"
"Alabama","9e1b32","828a8f","Alabama.png","SEC"
"Arizona","cc0033","003366","Arizona.png","Pac-12"
"Arizona State","8c1d40","ffc627","Arizona State.png","Pac-12"
"Arkansas","9d2235","000000","Arkansas.png","SEC"
"Auburn","e87722","0c2340","Auburn.png","SEC"
"Baylor","1b3c34","ffb81c","Baylor.png","Big 12"
"Boston College","862633","8b6f4e","Boston College.png","ACC"
"California","1295d8","ffb511","California.png","Pac-12"
"Clemson","f66733","522d80","Clemson.png","ACC"
"Colorado","cfb87c","000000","Colorado.png","Pac-12"
"Duke","001a57","ffffff","Duke.png","ACC"
"Florida","0021a5","fa4616","Florida.png","SEC"
"Florida State","782f40","ceb888","Florida State.png","ACC"
"Georgia Tech","ffffff","eaaa00","Georgia Tech.png","ACC"
"Georgia Tech","ffffff","eaaa00","Georgia Tech.png","SEC"
"Illinois","e04e39","13294b","Illinois.png","Big Ten"
"Indiana","a90533","edebeb","Indiana.png","Big Ten"
"Iowa","000000","ffcd00","Iowa.png","Big Ten"
"Iowa State","c8102e","f1be48","Iowa State.png","Big 12"
"Kansas","0051ba","e8000d","Kansas.png","Big 12"
"Kansas State","512888","ffffff","Kansas State.png","Big 12"
"Kentucky","0033a0","ffffff","Kentucky.png","SEC"
"Louisville","ad0000","000000","Louisville.png","ACC"
"LSU","461d7c","fdd023","LSU.png","SEC"
"Maryland","c8102e","ffd900","Maryland.png","Big Ten"
"Miami","005030","f47321","Miami.png","ACC"
"Michigan","00274c","ffcb05","Michigan.png","Big Ten"
"Michigan State","18453b","ffffff","Michigan State.png","Big Ten"
"Minnesota","7a0019","ffcc33","Minnesota.png","Big Ten"
"Mississippi","c8102e","13294b","Mississippi.png","SEC"
"Mississippi State","660000","cccccc","Mississippi State.png","SEC"
"Mizzou","f1b82d","000000","Mizzou.png","SEC"
"NC State","cc0000","000000","NC State.png","ACC"
"Nebraska","e41c38","f5f1e7","Nebraska.png","Big Ten"
"North Carolina","4b9cd3","ffffff","North Carolina.png","ACC"
"Northwestern","4e2a84","ffffff","Northwestern.png","Big Ten"
"Notre Dame","0c2340","c99700","Notre Dame.png","ACC"
"Ohio State","bb0000","666666","Ohio State.png","Big Ten"
"Oklahoma","841617","ffffff","Oklahoma.png","Big 12"
"Oklahoma State","ff7300","000000","Oklahoma State.png","Big 12"
"Oregon","154733","fee123","Oregon.png","Pac-12"
"Oregon State","dc4405","000000","Oregon State.png","Pac-12"
"Penn State","003087","ffffff","Penn State.png","Big Ten"
"Pittsburgh","00205b","b5a66b","Pittsburgh.png","ACC"
"Purdue","000000","ceb888","Purdue.png","Big Ten"
"Rutgers","cc0033","5a6f72","Rutgers.png","Big Ten"
"South Carolina","73000a","000000","South Carolina.png","SEC"
"Stanford","8c1515","ffffff","Stanford.png","Pac-12"
"Syracuse","d44500","3e3d3c","Syracuse.png","ACC"
"TCU","4d1979","ffffff","TCU.png","Big 12"
"Tennessee","ff8200","ffffff","Tennessee.png","SEC"
"Texas","bf5700","333f48","Texas.png","Big 12"
"Texas A&M","500000","ffffff","Texas A&M.png","SEC"
"Texas Tech","cc0000","000000","Texas Tech.png","Big 12"
"UCLA","3284bf","ffe800","UCLA.png","Pac-12"
"USC","9d2235","ffc72c","USC.png","Pac-12"
"Utah","cc0000","000000","Utah.png","Pac-12"
"Vanderbilt","d8ab4c","000000","Vanderbilt.png","SEC"
"Virginia","f84c1e","232d4b","Virginia.png","ACC"
"Virginia Tech","8a1e41","ee7623","Virginia Tech.png","ACC"
"Wake Forest","a67f31","000000","Wake Forest.png","ACC"
"Washington","4b2e83","e8e3d3","Washington.png","Pac-12"
"Washington State","981e32","5e6a71","Washington State.png","Pac-12"
"West Virginia","002855","eaaa00","West Virginia.png","Big 12"
"Wisconsin","c4012f","ffffff","Wisconsin.png","Big Ten"
